day,stockprice,percentreturn,balance,score
11,95.66,2.25%,99.06,3.4
12,99.09,3.58%,99.06,-0.04
13,98.2,-0.90%,99.06,0.85
14,96.62,-1.61%,97.46,0.83
15,99.94,3.43%,100.8,0.85
16,102.82,2.88%,100.8,-2.02
17,104.19,1.33%,100.8,-3.4
18,103.95,-0.24%,100.56,-3.4
19,101.25,-2.60%,97.94,-3.32
20,99.13,-2.10%,95.88,-3.25
21,100.83,1.71%,97.52,-3.32
22,99.79,-1.04%,97.52,-2.28
23,99.62,-0.18%,97.52,-2.11
24,103.05,3.44%,97.52,-5.54
25,103.84,0.76%,97.52,-6.33
26,106.62,2.67%,97.52,-9.11
27,105.61,-0.95%,97.52,-8.1
28,105.24,-0.36%,97.17,-8.07
29,104.57,-0.64%,96.55,-8.02
30,106.3,1.65%,98.14,-8.16
2,97.85,-2.16%,100,2.15
3,98.94,1.11%,101.11,2.17
4,98.21,-0.74%,101.11,2.9
5,95.27,-3%,101.11,5.84
6,94.28,-1.04%,100.05,5.76
7,92.28,-2.13%,97.92,5.64
8,91.29,-1.08%,96.86,5.56
9,88.31,-3.27%,93.69,5.37
10,88.47,0.18%,93.85,5.37
11,90.37,2.14%,93.85,3.47
12,90.33,-0.05%,93.85,3.51
13,93.58,3.59%,93.85,0.26
14,96.25,2.85%,93.85,-2.41
15,95.01,-1.29%,93.85,-1.17
16,96.17,1.22%,94.99,-1.19
17,98.73,2.66%,97.51,-1.22
18,99.5,0.77%,97.51,-1.99
19,98.47,-1.04%,97.51,-0.96
20,96.78,-1.72%,95.83,-0.96
21,97.03,0.25%,96.07,-0.97
22,97.48,0.46%,96.51,-0.97
23,100.07,2.65%,99.07,-1
24,102.55,2.47%,99.07,-3.49
25,104.74,2.13%,99.07,-5.68
26,105.05,0.29%,99.07,-5.99
27,102.71,-2.23%,96.86,-5.85
28,105.47,2.68%,99.46,-6.02
29,108.12,2.51%,99.46,-8.67
30,107.47,-0.61%,99.46,-8.02
2,102.6,2.59%,102.6,0
3,101.5,-1.08%,102.6,1.09
4,99.79,-1.69%,100.87,1.07
5,96.91,-2.89%,97.95,1.04
6,96.92,0.01%,97.96,1.03
7,96.68,-0.25%,97.96,1.27
8,95.66,-1.06%,97.96,2.29
9,96.93,1.32%,97.96,1.02
10,95.39,-1.59%,97.96,2.56
11,95.19,-0.21%,97.75,2.56
12,93.61,-1.66%,96.12,2.51
13,92.09,-1.63%,94.55,2.45
14,93.08,1.07%,95.56,2.48
15,91.96,-1.21%,95.56,3.6
16,95.41,3.75%,95.56,0.15
17,94.57,-0.89%,95.56,0.99
18,97.88,3.50%,98.9,1.02
19,95.51,-2.43%,98.9,3.39
20,97.06,1.62%,100.5,3.43
21,98.26,1.23%,101.74,3.47
22,99.87,1.63%,103.4,3.53
23,102.83,2.96%,106.46,3.62
24,101.23,-1.56%,106.46,5.22
25,99.68,-1.54%,104.82,5.13
26,102.32,2.64%,107.59,5.27
27,103.69,1.33%,107.59,3.9
28,106.53,2.73%,107.59,1.06
29,103.9,-2.47%,107.59,3.68
30,107.21,3.18%,111.01,3.8
2,102.43,2.43%,102.43,0
3,102.57,0.13%,102.43,-0.14
4,101.75,-0.80%,102.43,0.68
5,104.35,2.55%,105.04,0.69
6,105.11,0.72%,105.04,-0.07
7,102.8,-2.20%,105.04,2.24
8,100.84,-1.91%,103.03,2.18
9,101.41,0.56%,103.61,2.2
10,102.61,1.18%,103.61,1
11,104.78,2.11%,103.61,-1.18
12,105.09,0.29%,103.61,-1.49
13,104.16,-0.89%,103.61,-0.55
14,107.46,3.16%,106.89,-0.57
15,105.02,-2.28%,106.89,1.87
16,104.5,-0.50%,106.36,1.85
17,104.75,0.23%,106.61,1.85
18,103.17,-1.51%,105,1.82
19,101.92,-1.22%,103.72,1.79
20,103.78,1.82%,105.61,1.82
21,103.62,-0.16%,105.61,1.98
22,105.24,1.56%,105.61,0.37
23,103.05,-2.09%,105.61,2.56
24,103.64,0.57%,106.21,2.56
25,106.21,2.47%,108.84,2.63
26,104.65,-1.47%,108.84,4.18
27,106.15,1.43%,110.4,4.25
28,108.85,2.54%,113.2,4.35
29,110.79,1.78%,113.2,2.4
30,108.18,-2.36%,113.2,5.01
2,99.12,-0.88%,100,0.87
3,99.5,0.38%,100.38,0.87
4,102.81,3.32%,103.71,0.89
5,101.52,-1.26%,103.71,2.18
6,99.4,-2.09%,101.54,2.14
7,102.43,3.04%,104.63,2.19
8,102.71,0.27%,104.63,1.92
9,102.85,0.13%,104.63,1.78
10,101.16,-1.65%,104.63,3.46
11,103.55,2.36%,107.1,3.54
12,101.51,-1.98%,107.1,5.58
13,104.57,3.01%,110.32,5.75
14,102.41,-2.07%,110.32,7.9
15,105.32,2.84%,113.45,8.13
16,105.69,0.35%,113.45,7.76
17,107.28,1.50%,113.45,6.17
18,108.92,1.52%,113.45,4.53
19,106.89,-1.87%,113.45,6.56
20,105.92,-0.91%,112.42,6.5
21,103.61,-2.19%,109.96,6.34
22,101.73,-1.82%,107.96,6.22
23,101.31,-0.42%,107.51,6.2
24,99.22,-2.07%,105.29,6.07
25,101.22,2.01%,107.41,6.18
26,102.72,1.48%,107.41,4.68
27,101.66,-1.04%,107.41,5.75
28,103.8,2.10%,109.67,5.87
29,106.32,2.42%,109.67,3.35
30,107.27,0.89%,109.67,2.4
2,98.97,-1.04%,98.97,0
3,99.67,0.70%,99.67,0
4,99.32,-0.36%,99.32,0
5,97.6,-1.74%,97.6,0
6,96.66,-0.97%,96.66,0
7,94.04,-2.72%,94.04,0
8,96.42,2.53%,96.42,0
9,98.82,2.48%,96.42,-2.4
10,102.3,3.52%,96.42,-5.88
11,104.78,2.42%,96.42,-8.36
12,108.18,3.24%,96.42,-11.77
13,107.1,-1%,96.42,-10.68
14,104.51,-2.42%,94.08,-10.44
15,107.63,2.98%,96.88,-10.75
16,110.47,2.63%,96.88,-13.6
17,113.42,2.67%,96.88,-16.55
18,111.9,-1.35%,96.88,-15.03
19,114.9,2.68%,99.47,-15.44
20,112.13,-2.42%,99.47,-12.66
21,115.25,2.78%,102.23,-13.02
22,113.39,-1.62%,102.23,-11.16
23,114.39,0.88%,103.13,-11.27
24,114.62,0.20%,103.33,-11.3
25,113.26,-1.19%,102.1,-11.17
26,112.58,-0.61%,101.48,-11.1
27,113.61,0.91%,102.4,-11.21
28,112.33,-1.13%,102.4,-9.93
29,112.4,0.06%,102.4,-10
30,112.35,-0.05%,102.4,-9.95
2,102.1,2.09%,100,-2.1
3,104.43,2.28%,100,-4.44
4,107.28,2.72%,100,-7.29
5,106.2,-1.01%,100,-6.21
6,108.71,2.36%,102.36,-6.35
7,107.07,-1.51%,102.36,-4.71
8,108.86,1.67%,104.07,-4.8
9,106.77,-1.92%,102.07,-4.71
10,110.18,3.19%,105.32,-4.87
11,110.01,-0.16%,105.32,-4.7
12,110.18,0.15%,105.32,-4.87
13,112.28,1.90%,105.32,-6.97
14,112.45,0.15%,105.32,-7.14
15,112.68,0.20%,105.32,-7.37
16,110.23,-2.18%,105.32,-4.92
17,107.83,-2.18%,103.02,-4.82
18,110.45,2.42%,105.52,-4.94
19,107.69,-2.50%,105.52,-2.18
20,107.72,0.02%,105.54,-2.18
21,110.01,2.12%,107.78,-2.24
22,111.29,1.16%,107.78,-3.52
23,113.68,2.14%,107.78,-5.91
24,111.6,-1.83%,107.78,-3.82
25,115.01,3.05%,111.07,-3.95
26,117.81,2.43%,111.07,-6.75
27,115.26,-2.17%,111.07,-4.2
28,113.15,-1.84%,109.03,-4.13
29,115.99,2.50%,111.76,-4.23
30,115.14,-0.74%,111.76,-3.38
2,97.7,-2.30%,100,2.29
3,98.52,0.83%,100.83,2.31
4,96.21,-2.35%,100.83,4.62
5,94.18,-2.11%,98.7,4.51
6,97.49,3.51%,102.16,4.67
7,97.29,-0.21%,102.16,4.86
8,97.81,0.53%,102.16,4.34
9,98.88,1.09%,102.16,3.28
10,99.18,0.30%,102.16,2.97
11,96.45,-2.76%,102.16,5.7
12,93.85,-2.70%,99.4,5.55
13,95.8,2.07%,101.46,5.65
14,93.9,-1.99%,101.46,7.55
15,95.75,1.97%,103.45,7.7
16,95.17,-0.61%,103.45,8.28
17,98.51,3.50%,103.45,4.93
18,100.18,1.69%,103.45,3.26
19,101.64,1.45%,103.45,1.81
20,104.2,2.51%,103.45,-0.75
21,103.82,-0.37%,103.45,-0.37
22,105.85,1.95%,105.47,-0.38
23,107.13,1.20%,106.74,-0.4
24,110.44,3.08%,110.03,-0.41
25,108.13,-2.10%,110.03,1.9
26,110.53,2.21%,112.47,1.93
27,112.88,2.12%,112.47,-0.41
28,110.85,-1.80%,112.47,1.62
29,108.19,-2.40%,109.77,1.57
30,107.44,-0.70%,109,1.56
2,103.35,3.34%,100,-3.35
3,101.91,-1.40%,100,-1.91
4,100.59,-1.30%,98.7,-1.9
5,103.65,3.04%,101.7,-1.96
6,101.81,-1.78%,101.7,-0.11
7,99.11,-2.66%,99,-0.11
8,100.45,1.35%,100.33,-0.13
9,101.37,0.91%,100.33,-1.05
10,103.32,1.92%,100.33,-2.99
11,100.51,-2.72%,100.33,-0.19
12,101.15,0.63%,100.96,-0.2
13,103.31,2.13%,103.11,-0.21
14,102.97,-0.33%,103.11,0.14
15,101.2,-1.72%,101.33,0.12
16,103.95,2.71%,104.08,0.12
17,102.32,-1.57%,104.08,1.76
18,103.01,0.67%,104.78,1.76
19,100.11,-2.82%,101.83,1.71
20,100.04,-0.07%,101.75,1.7
21,97.87,-2.17%,99.54,1.67
22,97.88,0.01%,99.55,1.67
23,99.07,1.21%,100.76,1.69
24,99.99,0.92%,100.76,0.77
25,100.19,0.20%,100.76,0.57
26,99.7,-0.49%,100.76,1.06
27,102.27,2.57%,100.76,-1.51
28,103.78,1.47%,100.76,-3.02
29,103.27,-0.50%,100.76,-2.51
30,102.64,-0.62%,100.14,-2.5
2,100.77,0.76%,100,-0.77
3,103.64,2.84%,100,-3.65
4,101.64,-1.93%,100,-1.65
5,99.22,-2.39%,97.61,-1.61
6,97.87,-1.37%,96.28,-1.6
7,98.57,0.71%,96.96,-1.61
8,101.3,2.76%,96.96,-4.35
9,99.38,-1.90%,96.96,-2.43
10,100.78,1.40%,98.32,-2.47
11,103.49,2.68%,100.96,-2.54
12,105.55,1.99%,100.96,-4.6
13,104.98,-0.55%,100.96,-4.03
14,104.71,-0.26%,100.7,-4.01
15,104.89,0.17%,100.87,-4.02
16,105.36,0.44%,101.32,-4.05
17,107.49,2.02%,103.36,-4.13
18,107.77,0.26%,103.36,-4.41
19,106.25,-1.42%,103.36,-2.9
20,107.19,0.88%,104.27,-2.93
21,105.39,-1.68%,102.51,-2.88
22,105.12,-0.26%,102.24,-2.89
23,105.23,0.10%,102.34,-2.9
24,102.46,-2.64%,99.64,-2.82
25,104.16,1.65%,101.29,-2.87
26,107.3,3.01%,101.29,-6.01
27,109.61,2.15%,101.29,-8.32
28,109.85,0.21%,101.29,-8.56
29,109.68,-0.16%,101.13,-8.56
30,107.85,-1.67%,99.44,-8.41
2,99.09,-0.91%,100,0.9
3,98.27,-0.83%,100,1.73
4,101.1,2.87%,100,-1.1
5,98.46,-2.62%,100,1.54
6,98.52,0.06%,100.06,1.54
7,97.43,-1.11%,98.95,1.51
8,96.17,-1.30%,97.67,1.5
9,97.12,0.98%,98.63,1.5
10,96.37,-0.78%,98.63,2.25
11,99.21,2.94%,98.63,-0.58
12,98.72,-0.50%,98.63,-0.1
13,98.9,0.18%,98.63,-0.28
14,100.12,1.23%,98.63,-1.5
15,99.06,-1.06%,98.63,-0.44
16,101.24,2.20%,100.8,-0.44
17,101.22,-0.02%,100.8,-0.43
18,101.7,0.47%,100.8,-0.91
19,102.85,1.13%,100.8,-2.05
20,103.11,0.25%,100.8,-2.32
21,100.75,-2.29%,100.8,0.04
22,98.31,-2.43%,98.35,0.03
23,96.39,-1.96%,96.42,0.03
24,95.95,-0.46%,95.97,0.01
25,98.07,2.20%,95.97,-2.1
26,98.47,0.40%,95.97,-2.5
27,97.53,-0.96%,95.97,-1.57
28,100.43,2.97%,98.82,-1.62
29,102.31,1.87%,98.82,-3.5
30,101.58,-0.72%,98.82,-2.77
2,99.13,-0.88%,99.13,0
3,99.06,-0.08%,99.06,0
4,97.47,-1.61%,97.47,0
5,94.91,-2.63%,94.91,0
6,94.28,-0.67%,94.28,0
7,96.82,2.69%,96.82,0
8,95.75,-1.11%,96.82,1.06
9,96.19,0.45%,97.26,1.07
10,99.14,3.06%,100.24,1.09
11,101.89,2.77%,100.24,-1.66
12,101.06,-0.82%,100.24,-0.83
13,100.45,-0.61%,99.63,-0.83
14,97.94,-2.50%,97.14,-0.8
15,96.45,-1.53%,95.66,-0.8
16,99.85,3.52%,99.03,-0.82
17,98.05,-1.81%,99.03,0.98
18,100.55,2.54%,101.55,1
19,103.16,2.59%,101.55,-1.61
20,106.56,3.29%,101.55,-5.02
21,105.18,-1.30%,101.55,-3.64
22,108.66,3.30%,104.9,-3.76
23,109.64,0.90%,104.9,-4.74
24,109.15,-0.45%,104.9,-4.25
25,107.24,-1.75%,103.06,-4.18
26,106.77,-0.44%,102.6,-4.18
27,108.36,1.48%,104.12,-4.24
28,111.51,2.90%,104.12,-7.39
29,110.84,-0.61%,104.12,-6.72
30,110.83,-0.01%,104.11,-6.72
2,100.64,0.64%,100,-0.65
3,99.11,-1.53%,100,0.89
4,102.25,3.16%,103.16,0.9
5,104.21,1.91%,103.16,-1.05
6,103.83,-0.37%,103.16,-0.68
7,104.72,0.85%,104.04,-0.68
8,102.26,-2.35%,101.59,-0.68
9,105.46,3.12%,104.76,-0.7
10,102.63,-2.69%,104.76,2.13
11,102.13,-0.49%,104.24,2.1
12,99.43,-2.65%,101.48,2.04
13,101.67,2.25%,103.76,2.09
14,104.97,3.24%,103.76,-1.21
15,106.07,1.04%,103.76,-2.31
16,104.82,-1.18%,102.53,-2.29
17,106.3,1.41%,103.97,-2.33
18,105.44,-0.81%,103.12,-2.32
19,102.59,-2.71%,100.33,-2.27
20,104.31,1.67%,102.01,-2.3
21,107.11,2.68%,102.01,-5.1
22,106.67,-0.42%,102.01,-4.66
23,106,-0.63%,101.36,-4.65
24,104.83,-1.11%,100.24,-4.6
25,101.92,-2.78%,97.45,-4.47
26,103.3,1.35%,98.76,-4.54
27,106.61,3.20%,98.76,-7.85
28,104.13,-2.33%,98.76,-5.37
29,105.77,1.57%,100.31,-5.46
30,105.86,0.08%,100.39,-5.47
2,100.52,0.51%,100,-0.52
3,101.42,0.89%,100,-1.43
4,103.77,2.31%,100,-3.77
5,103.28,-0.48%,100,-3.29
6,100.66,-2.54%,97.46,-3.21
7,101.02,0.35%,97.8,-3.22
8,99.53,-1.48%,97.8,-1.74
9,100.29,0.76%,97.8,-2.5
10,98.01,-2.28%,97.8,-0.22
11,101.4,3.45%,101.18,-0.22
12,98.8,-2.57%,101.18,2.38
13,97.61,-1.21%,99.96,2.34
14,95.83,-1.83%,98.13,2.29
15,96.62,0.82%,98.93,2.31
16,98.27,1.70%,98.93,0.66
17,100.95,2.72%,98.93,-2.02
18,101.66,0.70%,98.93,-2.73
19,103.58,1.88%,98.93,-4.65
20,103.03,-0.54%,98.93,-4.1
21,100.09,-2.86%,96.1,-4
22,100.36,0.26%,96.35,-4.02
23,101.19,0.82%,96.35,-4.85
24,98.48,-2.68%,96.35,-2.14
25,96.08,-2.44%,94,-2.08
26,97.91,1.90%,95.79,-2.12
27,95.84,-2.12%,95.79,-0.05
28,99.03,3.32%,98.97,-0.07
29,100.09,1.07%,98.97,-1.13
30,97.97,-2.12%,98.97,1
2,99.73,-0.27%,100,0.26
3,101.93,2.20%,100,-1.94
4,102.26,0.32%,100,-2.27
5,100.58,-1.65%,100,-0.58
6,102.39,1.79%,101.79,-0.6
7,104.82,2.37%,101.79,-3.03
8,107.58,2.63%,101.79,-5.79
9,109.97,2.22%,101.79,-8.18
10,109.04,-0.85%,101.79,-7.25
11,111.18,1.96%,103.78,-7.41
12,109.61,-1.42%,102.31,-7.3
13,110.44,0.75%,103.08,-7.36
14,113.18,2.48%,105.63,-7.56
15,113.27,0.07%,105.63,-7.64
16,113.74,0.41%,105.63,-8.11
17,111.9,-1.62%,105.63,-6.28
18,109.18,-2.44%,103.06,-6.13
19,106.93,-2.07%,100.93,-6
20,108.28,1.26%,102.2,-6.08
21,110.73,2.26%,102.2,-8.54
22,111.97,1.11%,102.2,-9.77
23,109.8,-1.94%,102.2,-7.6
24,106.85,-2.69%,99.45,-7.4
25,109.77,2.73%,102.16,-7.61
26,109.28,-0.45%,102.16,-7.13
27,108.99,-0.27%,102.16,-6.83
28,110.16,1.07%,102.16,-8
29,107.77,-2.17%,102.16,-5.61
30,108.76,0.91%,103.09,-5.68
2,99.29,-0.71%,100,0.7
3,102.56,3.29%,100,-2.57
4,100.51,-2%,100,-0.52
5,99.01,-1.50%,98.5,-0.52
6,101.13,2.14%,100.6,-0.54
7,104.02,2.85%,100.6,-3.43
8,102.36,-1.60%,100.6,-1.77
9,100.92,-1.41%,99.18,-1.74
10,102.86,1.92%,101.08,-1.79
11,101.85,-0.99%,101.08,-0.77
12,103.71,1.82%,101.08,-2.63
13,105.64,1.86%,101.08,-4.57
14,104.16,-1.41%,101.08,-3.08
15,101.44,-2.62%,98.44,-3
16,100.81,-0.63%,97.82,-3
17,99.21,-1.59%,96.26,-2.95
18,100.58,1.38%,97.58,-3
19,98.39,-2.18%,97.58,-0.82
20,100.99,2.64%,100.15,-0.84
21,98.41,-2.56%,100.15,1.74
22,101.89,3.53%,103.69,1.79
23,100.34,-1.53%,103.69,3.34
24,98.38,-1.96%,101.66,3.28
25,100.14,1.78%,103.47,3.32
26,98.99,-1.15%,103.47,4.48
27,101.58,2.61%,103.47,1.89
28,100.58,-0.99%,103.47,2.89
29,101.28,0.69%,104.19,2.9
30,101.84,0.55%,104.76,2.92
2,102.26,2.26%,100,-2.27
3,102.27,0%,100,-2.27
4,102.05,-0.22%,100,-2.05
5,99.74,-2.27%,100,0.26
6,99,-0.75%,99.25,0.25
7,97.63,-1.39%,97.87,0.24
8,96.01,-1.66%,96.24,0.22
9,99.23,3.35%,99.46,0.22
10,98.3,-0.94%,99.46,1.15
11,100.6,2.33%,101.78,1.18
12,101.16,0.55%,101.78,0.62
13,104.61,3.41%,101.78,-2.83
14,105.18,0.54%,101.78,-3.41
15,103.22,-1.87%,101.78,-1.44
16,104.7,1.43%,103.23,-1.47
17,107.87,3.02%,103.23,-4.65
18,106.88,-0.92%,103.23,-3.65
19,106.18,-0.66%,102.55,-3.64
20,109.24,2.88%,105.5,-3.74
21,108.67,-0.53%,105.5,-3.18
22,105.87,-2.58%,105.5,-0.38
23,109.11,3.06%,108.72,-0.4
24,106.68,-2.23%,108.72,2.03
25,104.55,-2%,106.54,1.99
26,106.79,2.14%,108.82,2.02
27,108.16,1.28%,108.82,0.65
28,105.22,-2.72%,108.82,3.59
29,105.32,0.09%,108.92,3.6
30,102.83,-2.37%,106.34,3.51
2,99.24,-0.77%,100,0.76
3,99.24,0%,100,0.76
4,97.8,-1.46%,100,2.2
5,97.4,-0.41%,100,2.59
6,99.57,2.22%,100,0.43
7,102.08,2.52%,100,-2.08
8,99.32,-2.71%,100,0.68
9,100.35,1.03%,101.03,0.68
10,101.36,1%,102.04,0.68
11,100.55,-0.80%,102.04,1.49
12,102.73,2.16%,104.25,1.51
13,103.18,0.43%,104.25,1.06
14,105.2,1.95%,104.25,-0.96
15,104.8,-0.39%,104.25,-0.55
16,107.55,2.62%,104.25,-3.3
17,107.25,-0.28%,104.25,-3
18,109.65,2.23%,104.25,-5.41
19,110.31,0.60%,104.25,-6.07
20,113.08,2.51%,104.25,-8.83
21,112.81,-0.24%,104.25,-8.57
22,109.97,-2.52%,101.62,-8.35
23,113.45,3.16%,104.83,-8.63
24,110.65,-2.47%,104.83,-5.83
25,113.36,2.44%,107.39,-5.97
26,114.55,1.04%,107.39,-7.16
27,116.66,1.84%,107.39,-9.27
28,119.38,2.33%,107.39,-11.99
29,122.06,2.24%,107.39,-14.68
30,123.28,0.99%,107.39,-15.89
2,102.19,2.18%,102.19,0
3,104.95,2.70%,102.19,-2.77
4,106.14,1.13%,102.19,-3.96
5,105.35,-0.75%,102.19,-3.16
6,102.47,-2.74%,99.39,-3.08
7,101.86,-0.60%,98.79,-3.07
8,102.91,1.03%,99.8,-3.11
9,101.19,-1.68%,99.8,-1.4
10,100.13,-1.05%,98.75,-1.38
11,102.27,2.13%,100.86,-1.41
12,101.7,-0.56%,100.86,-0.85
13,104.74,2.98%,100.86,-3.88
14,107.49,2.62%,100.86,-6.63
15,108.93,1.33%,100.86,-8.08
16,111.07,1.96%,100.86,-10.21
17,110.36,-0.64%,100.86,-9.5
18,112.92,2.31%,103.19,-9.74
19,114.68,1.55%,103.19,-11.5
20,116.84,1.88%,103.19,-13.66
21,114.64,-1.89%,103.19,-11.46
22,116.39,1.52%,104.76,-11.63
23,115.36,-0.89%,103.83,-11.53
24,116.33,0.84%,104.7,-11.63
25,114.04,-1.97%,102.63,-11.42
26,112.22,-1.60%,100.99,-11.24
27,110.67,-1.39%,99.59,-11.08
28,113.82,2.84%,102.42,-11.4
29,111.88,-1.71%,102.42,-9.46
30,112.19,0.27%,102.7,-9.49
2,100.65,0.65%,100,-0.66
3,98,-2.64%,100,2
4,99.04,1.06%,101.06,2.01
5,99.64,0.60%,101.06,1.42
6,98.76,-0.89%,101.06,2.29
7,97.65,-1.13%,99.92,2.26
8,94.99,-2.73%,97.19,2.2
9,98.26,3.44%,100.53,2.26
10,98.02,-0.25%,100.53,2.51
11,96.08,-1.98%,100.53,4.45
12,98.65,2.67%,103.21,4.55
13,98.87,0.22%,103.21,4.33
14,96.53,-2.37%,103.21,6.67
15,94.86,-1.74%,101.42,6.56
16,97.36,2.63%,104.09,6.73
17,96.59,-0.80%,104.09,7.5
18,95.05,-1.60%,104.09,9.04
19,97.01,2.06%,106.23,9.21
20,99.62,2.69%,106.23,6.61
21,97.15,-2.48%,106.23,9.07
22,98.79,1.68%,108.02,9.22
23,98.05,-0.75%,107.21,9.15
24,99.29,1.26%,108.56,9.26
25,99.71,0.42%,109.01,9.3
26,96.86,-2.86%,105.89,9.03
27,100.29,3.54%,109.63,9.33
28,98.67,-1.62%,109.63,10.95
29,98.35,-0.33%,109.27,10.92
30,97.83,-0.53%,108.69,10.86
2,99.38,-0.63%,100,0.62
3,99.58,0.20%,100,0.42
4,102.54,2.97%,100,-2.55
5,101.66,-0.86%,100,-1.66
6,102.97,1.28%,101.28,-1.69
7,101.97,-0.98%,100.29,-1.68
8,102.23,0.25%,100.54,-1.69
9,104.86,2.57%,103.12,-1.74
10,102.58,-2.18%,103.12,0.54
11,100.96,-1.58%,101.49,0.53
12,100.16,-0.80%,100.68,0.52
13,99.28,-0.88%,99.79,0.51
14,98.46,-0.83%,98.96,0.5
15,97.54,-0.94%,98.03,0.48
16,97.31,-0.24%,97.79,0.48
17,96.57,-0.77%,97.04,0.47
18,97.08,0.52%,97.55,0.46
19,96.15,-0.96%,96.61,0.45
20,96.44,0.30%,96.9,0.46
21,93.72,-2.83%,94.16,0.43
22,93.96,0.25%,94.4,0.44
23,94.24,0.29%,94.68,0.44
24,91.86,-2.53%,92.28,0.42
25,89.5,-2.57%,89.9,0.4
26,87.14,-2.64%,87.52,0.37
27,88.75,1.84%,89.13,0.37
28,89.08,0.37%,89.13,0.04
29,91.55,2.77%,89.13,-2.43
30,91.26,-0.32%,89.13,-2.14
2,97.85,-2.16%,100,2.15
3,99.14,1.31%,101.31,2.17
4,99.41,0.27%,101.31,1.9
5,97.4,-2.03%,101.31,3.9
6,96.23,-1.21%,100.09,3.85
7,94.88,-1.41%,98.68,3.8
8,95.69,0.85%,99.52,3.82
9,93.05,-2.76%,99.52,6.46
10,93.86,0.87%,100.38,6.51
11,95.71,1.97%,100.38,4.67
12,98.05,2.44%,100.38,2.32
13,96.58,-1.50%,100.38,3.79
14,93.76,-2.92%,97.44,3.67
15,91.48,-2.44%,95.07,3.58
16,94.16,2.92%,97.85,3.68
17,95.54,1.46%,97.85,2.3
18,94.66,-0.93%,97.85,3.18
19,93.32,-1.42%,96.46,3.14
20,96.61,3.52%,99.86,3.25
21,95.23,-1.43%,99.86,4.62
22,92.47,-2.90%,96.96,4.48
23,95.37,3.13%,100,4.62
24,93.88,-1.57%,100,6.12
25,92.1,-1.90%,98.1,6
26,94.83,2.96%,101,6.17
27,95.14,0.32%,101,5.86
28,94.04,-1.16%,101,6.95
29,97.36,3.53%,104.56,7.2
30,95.17,-2.25%,104.56,9.39
2,97.89,-2.11%,100,2.1
3,96.19,-1.74%,98.26,2.07
4,93.69,-2.60%,95.7,2.01
5,93.95,0.27%,95.96,2
6,95.54,1.69%,95.96,0.41
7,92.8,-2.87%,95.96,3.15
8,95.3,2.69%,98.54,3.24
9,92.82,-2.61%,98.54,5.72
10,90.19,-2.84%,95.74,5.54
11,91.57,1.53%,97.2,5.63
12,94.52,3.22%,97.2,2.68
13,96.06,1.62%,97.2,1.14
14,98.99,3.05%,97.2,-1.79
15,97.49,-1.52%,97.2,-0.29
16,95.27,-2.28%,94.98,-0.29
17,97.86,2.71%,97.56,-0.3
18,95.43,-2.49%,97.56,2.12
19,96.8,1.43%,98.96,2.15
20,96.68,-0.13%,98.83,2.14
21,95.97,-0.74%,98.1,2.12
22,96.1,0.13%,98.23,2.13
23,94.16,-2.02%,96.24,2.07
24,96.3,2.27%,98.42,2.12
25,97.29,1.02%,98.42,1.12
26,96.4,-0.92%,98.42,2.01
27,96.16,-0.25%,98.17,2.01
28,94.61,-1.62%,96.58,1.96
29,97.71,3.27%,99.74,2.03
30,100.57,2.92%,99.74,-0.83
2,100.04,0.04%,100.04,0
3,98.29,-1.75%,98.29,0
4,99.3,1.02%,99.29,-0.01
5,97.55,-1.77%,99.29,1.74
6,97.98,0.44%,99.29,1.31
7,100.91,2.99%,99.29,-1.62
8,104.22,3.28%,99.29,-4.93
9,104.13,-0.09%,99.29,-4.84
10,107.42,3.15%,102.42,-5
11,105.71,-1.60%,102.42,-3.29
12,105.68,-0.03%,102.39,-3.3
13,103.97,-1.62%,100.73,-3.24
14,105.88,1.83%,102.58,-3.3
15,106.74,0.81%,102.58,-4.16
16,107.33,0.55%,102.58,-4.75
17,107.84,0.47%,102.58,-5.27
18,108.14,0.27%,102.58,-5.57
19,107.9,-0.23%,102.58,-5.33
20,108.32,0.38%,102.58,-5.74
21,105.41,-2.69%,102.58,-2.83
22,104.82,-0.56%,102,-2.82
23,108.02,3.05%,105.11,-2.91
24,110.83,2.60%,105.11,-5.72
25,112.22,1.25%,105.11,-7.11
26,110.41,-1.62%,105.11,-5.3
27,109.9,-0.47%,104.62,-5.29
28,108.76,-1.04%,103.53,-5.24
29,108.86,0.09%,103.62,-5.24
30,111.17,2.12%,105.81,-5.36
2,98.89,-1.11%,100,1.1
3,99,0.11%,100.11,1.1
4,98.45,-0.56%,99.55,1.09
5,98.33,-0.13%,99.42,1.09
6,97.14,-1.22%,98.21,1.06
7,98.63,1.53%,99.71,1.07
8,98.28,-0.36%,99.71,1.42
9,95.87,-2.46%,99.71,3.83
10,95.65,-0.23%,99.48,3.82
11,97.82,2.26%,101.73,3.91
12,94.97,-2.92%,101.73,6.76
13,93.02,-2.06%,99.64,6.62
14,94.6,1.69%,101.33,6.73
15,97.24,2.79%,101.33,4.09
16,98.83,1.63%,101.33,2.5
17,98.32,-0.52%,101.33,3.01
18,101.63,3.36%,104.74,3.1
19,99.58,-2.02%,104.74,5.15
20,103.03,3.46%,108.36,5.32
21,102.56,-0.46%,108.36,5.79
22,102.9,0.33%,108.36,5.45
23,105.88,2.89%,108.36,2.48
