ID,Sex,Marital status,Age,Education,Income,Occupation,Settlement size
100000460,Male,Single,32,Unknown,129630,Skilled Employee,Big City
100000461,Male,Single,37,High School,124268,Skilled Employee,Big City
100000462,Male,Single,36,High School,105240,Skilled Employee,Mid-sized City
100000463,Female,Married,34,High School,162180,Management,Small City
100000464,Male,Single,38,High School,106552,Skilled Employee,Big City
100000465,Male,Single,34,High School,105843,Skilled Employee,Big City
100000466,Male,Single,63,University,138327,Skilled Employee,Mid-sized City
100000467,Female,Married,29,High School,76154,Unemployed,Small City
100000468,Male,Single,32,Unknown,155012,Skilled Employee,Mid-sized City
100000469,Female,Married,26,High School,114369,Skilled Employee,Mid-sized City
100000470,Male,Single,35,High School,102839,Unemployed,Small City
100000471,Male,Married,22,High School,132796,Skilled Employee,Small City
100000472,Female,Married,23,High School,89742,Skilled Employee,Big City
100000473,Male,Single,28,Unknown,58615,Unemployed,Small City
100000474,Male,Single,36,High School,130603,Management,Big City
100000475,Male,Married,33,High School,110340,Skilled Employee,Small City
100000476,Female,Married,26,High School,117729,Skilled Employee,Big City
100000477,Male,Single,24,Unknown,130808,Skilled Employee,Small City
100000478,Male,Single,25,Unknown,147402,Skilled Employee,Big City
100000479,Male,Single,39,High School,93567,Unemployed,Small City
100000480,Male,Single,44,High School,109289,Skilled Employee,Mid-sized City
100000481,Female,Married,23,High School,98742,Unemployed,Small City
100000482,Male,Single,26,Unknown,101270,Skilled Employee,Small City
100000483,Female,Married,57,University,187835,Skilled Employee,Mid-sized City
100000484,Female,Married,30,High School,140741,Skilled Employee,Small City
100000485,Male,Single,44,High School,133265,Skilled Employee,Big City
100000486,Male,Single,47,High School,148100,Management,Big City
100000487,Male,Single,52,High School,131021,Skilled Employee,Big City
100000488,Female,Married,62,University,152620,Skilled Employee,Big City
100000489,Male,Single,35,High School,85033,Unemployed,Small City
100000490,Male,Single,26,Unknown,114514,Skilled Employee,Mid-sized City
100000491,Male,Single,26,Unknown,99307,Skilled Employee,Mid-sized City
100000492,Female,Married,42,University,219451,Management,Big City
100000493,Female,Married,27,High School,114007,Skilled Employee,Small City
100000494,Male,Single,38,High School,102846,Skilled Employee,Small City
100000495,Male,Single,39,High School,81483,Unemployed,Small City
100000496,Male,Married,20,High School,107779,Skilled Employee,Big City
100000497,Male,Single,29,Unknown,222360,Management,Big City
100000498,Male,Single,40,High School,107125,Skilled Employee,Small City
100000499,Male,Married,32,High School,80080,Unemployed,Small City
100000500,Male,Married,28,High School,129600,Skilled Employee,Small City
100000501,Female,Married,27,High School,118613,Skilled Employee,Mid-sized City
100000502,Male,Single,42,High School,146237,Skilled Employee,Mid-sized City
100000503,Male,Married,49,University,144461,Skilled Employee,Big City
100000504,Male,Single,38,High School,124487,Skilled Employee,Small City
100000505,Female,Married,24,High School,97826,Skilled Employee,Small City
100000506,Male,Single,27,Unknown,64105,Unemployed,Small City
100000507,Male,Single,36,High School,156374,Skilled Employee,Big City
100000508,Male,Single,34,High School,205383,Management,Big City
100000509,Male,Married,28,High School,98964,Skilled Employee,Big City
100000510,Male,Single,45,High School,221842,Management,Big City
100000511,Male,Single,26,Unknown,88027,Skilled Employee,Big City
100000512,Male,Single,32,Unknown,160513,Management,Big City
100000513,Male,Single,26,Unknown,124536,Skilled Employee,Big City
100000514,Male,Married,20,High School,93634,Skilled Employee,Small City
100000515,Male,Single,54,High School,124725,Skilled Employee,Small City
100000516,Female,Married,37,High School,102456,Skilled Employee,Small City
100000517,Male,Single,40,High School,74975,Unemployed,Small City
100000518,Female,Married,23,High School,153861,Skilled Employee,Mid-sized City
100000519,Male,Single,43,High School,119351,Skilled Employee,Big City
100000520,Male,Single,36,High School,95438,Skilled Employee,Big City
100000521,Male,Single,44,High School,147967,Skilled Employee,Big City
100000522,Female,Married,24,High School,116863,Skilled Employee,Mid-sized City
100000523,Male,Single,53,High School,170622,Skilled Employee,Mid-sized City
100000524,Female,Married,23,High School,132426,Skilled Employee,Mid-sized City
100000525,Female,Married,26,High School,77519,Unemployed,Small City
100000526,Male,Single,30,Unknown,169405,Skilled Employee,Big City
100000527,Female,Married,31,High School,120030,Skilled Employee,Small City
100000528,Male,Single,42,High School,77933,Unemployed,Small City
100000529,Male,Married,31,High School,109892,Skilled Employee,Mid-sized City
100000530,Male,Single,41,High School,69062,Unemployed,Small City
100000531,Male,Single,32,Unknown,116348,Skilled Employee,Small City
100000532,Female,Married,28,High School,137188,Skilled Employee,Mid-sized City
100000533,Male,Married,41,High School,110199,Skilled Employee,Small City
100000534,Male,Married,26,High School,109890,Skilled Employee,Mid-sized City
100000535,Male,Single,25,Unknown,109751,Skilled Employee,Big City
100000536,Male,Married,33,High School,129651,Skilled Employee,Mid-sized City
100000537,Female,Married,75,Graduate School,170113,Management,Mid-sized City
100000538,Female,Married,37,High School,140285,Skilled Employee,Mid-sized City
100000539,Male,Single,42,High School,198029,Management,Big City
100000540,Female,Married,45,University,120262,Unemployed,Small City
100000541,Male,Married,23,High School,105137,Skilled Employee,Mid-sized City
100000542,Male,Single,60,University,127371,Skilled Employee,Small City
100000543,Male,Single,31,Unknown,145689,Skilled Employee,Small City
100000544,Male,Single,34,High School,102617,Unemployed,Mid-sized City
100000545,Male,Single,61,University,90709,Unemployed,Small City
100000546,Male,Single,43,High School,107099,Skilled Employee,Mid-sized City
100000547,Female,Married,37,High School,116021,Skilled Employee,Big City
100000548,Male,Single,32,Unknown,100426,Skilled Employee,Big City
100000549,Female,Married,24,High School,62249,Unemployed,Small City
100000550,Male,Single,35,High School,172957,Skilled Employee,Mid-sized City
100000551,Female,Married,23,High School,95003,Skilled Employee,Mid-sized City
100000552,Male,Single,45,High School,109698,Unemployed,Small City
100000553,Male,Married,34,High School,157376,Skilled Employee,Small City
100000554,Male,Single,27,Unknown,123191,Skilled Employee,Big City
100000555,Female,Married,67,Graduate School,171052,Management,Small City
100000556,Male,Single,22,Unknown,99328,Skilled Employee,Small City
100000557,Female,Married,28,High School,133799,Skilled Employee,Big City
100000558,Female,Married,29,High School,138256,Skilled Employee,Big City
100000559,Male,Single,27,Unknown,115638,Skilled Employee,Small City
100000560,Male,Single,31,Unknown,82238,Unemployed,Small City
100000561,Male,Single,49,High School,127543,Skilled Employee,Mid-sized City
100000562,Male,Single,24,Unknown,63987,Unemployed,Small City
100000563,Female,Married,29,High School,114784,Skilled Employee,Small City
100000564,Male,Single,37,High School,217450,Skilled Employee,Mid-sized City
100000565,Male,Single,37,High School,173751,Management,Big City
100000566,Female,Married,23,High School,122850,Skilled Employee,Small City
100000567,Male,Married,36,High School,104953,Skilled Employee,Small City
100000568,Male,Single,34,High School,152371,Skilled Employee,Mid-sized City
100000569,Male,Single,41,High School,139905,Skilled Employee,Small City
100000570,Female,Married,31,High School,156700,Skilled Employee,Mid-sized City
100000571,Female,Married,23,High School,86488,Unemployed,Small City
100000572,Male,Single,38,High School,147472,Skilled Employee,Small City
100000573,Female,Married,26,High School,169991,Management,Small City
100000574,Female,Married,22,High School,62381,Unemployed,Small City
100000575,Male,Single,27,Unknown,70926,Unemployed,Small City
100000576,Female,Married,24,High School,113004,Skilled Employee,Mid-sized City
100000577,Female,Married,27,High School,125760,Skilled Employee,Small City
100000578,Female,Married,33,High School,111918,Skilled Employee,Big City
100000579,Male,Married,27,High School,120674,Skilled Employee,Mid-sized City
100000580,Male,Married,27,High School,63597,Unemployed,Small City
100000581,Male,Single,30,Unknown,103069,Skilled Employee,Mid-sized City
100000582,Male,Single,49,High School,108079,Unemployed,Small City
100000583,Female,Married,26,High School,101159,Skilled Employee,Mid-sized City
100000584,Male,Single,33,High School,88211,Unemployed,Small City
100000585,Female,Married,52,University,159052,Management,Mid-sized City
100000586,Female,Married,20,High School,102623,Skilled Employee,Big City
100000587,Male,Single,36,High School,115589,Skilled Employee,Small City
100000588,Male,Single,21,Unknown,59127,Unemployed,Small City
100000589,Male,Married,47,University,82240,Unemployed,Small City
100000590,Male,Single,60,University,129425,Skilled Employee,Mid-sized City
100000591,Female,Married,58,University,87058,Unemployed,Small City
100000592,Female,Married,42,University,128462,Skilled Employee,Big City
100000593,Female,Married,36,High School,121403,Unemployed,Small City
100000594,Female,Married,20,High School,88141,Unemployed,Small City
100000595,Male,Single,40,High School,134946,Management,Big City
100000596,Female,Married,32,High School,94058,Unemployed,Small City
100000597,Female,Married,23,High School,99285,Skilled Employee,Mid-sized City
100000598,Male,Single,36,High School,108432,Unemployed,Small City
100000599,Male,Single,31,Unknown,111369,Skilled Employee,Small City
100000600,Male,Single,32,Unknown,122612,Skilled Employee,Big City
100000601,Female,Married,45,University,134350,Skilled Employee,Small City
100000602,Female,Married,30,High School,108838,Skilled Employee,Big City
100000603,Female,Married,34,High School,90852,Unemployed,Small City
100000604,Female,Married,28,High School,151580,Management,Big City
100000605,Female,Married,23,High School,115681,Skilled Employee,Mid-sized City
100000606,Male,Single,22,Unknown,131699,Skilled Employee,Mid-sized City
100000607,Male,Single,74,University,192481,Management,Mid-sized City
100000608,Female,Married,50,University,155122,Skilled Employee,Big City
100000609,Male,Single,33,High School,106015,Skilled Employee,Big City
100000610,Male,Single,45,High School,108378,Skilled Employee,Small City
100000611,Female,Married,22,High School,105257,Skilled Employee,Mid-sized City
100000612,Female,Married,48,University,118788,Unemployed,Small City
100000613,Female,Married,29,High School,162955,Skilled Employee,Big City
100000614,Female,Married,22,High School,119511,Skilled Employee,Big City
100000615,Female,Married,22,High School,102000,Skilled Employee,Small City
100000616,Male,Single,48,High School,254449,Management,Mid-sized City
100000617,Male,Single,27,Unknown,208446,Management,Big City
100000618,Male,Single,37,High School,124805,Skilled Employee,Small City
100000619,Female,Married,21,High School,139379,Skilled Employee,Small City
100000620,Male,Married,49,University,78296,Unemployed,Small City
100000621,Male,Single,27,Unknown,125598,Skilled Employee,Mid-sized City
100000622,Male,Single,32,Unknown,100215,Skilled Employee,Big City
100000623,Male,Married,38,High School,130951,Skilled Employee,Big City
100000624,Female,Married,22,High School,102480,Skilled Employee,Big City
100000625,Male,Single,65,University,136812,Skilled Employee,Mid-sized City
100000626,Male,Single,35,High School,106919,Skilled Employee,Mid-sized City
100000627,Male,Single,41,High School,131020,Skilled Employee,Big City
100000628,Male,Single,29,Unknown,119429,Skilled Employee,Mid-sized City
100000629,Male,Single,36,High School,154521,Skilled Employee,Mid-sized City
100000630,Male,Single,64,University,117842,Unemployed,Small City
100000631,Female,Married,28,High School,124566,Skilled Employee,Big City
100000632,Male,Single,44,High School,110009,Skilled Employee,Big City
100000633,Male,Single,23,Unknown,101210,Skilled Employee,Mid-sized City
100000634,Female,Married,19,High School,101258,Skilled Employee,Small City
100000635,Female,Married,25,High School,79045,Unemployed,Small City
100000636,Male,Single,47,High School,110866,Skilled Employee,Small City
100000637,Female,Married,28,High School,129640,Skilled Employee,Big City
100000638,Male,Single,21,Unknown,227021,Skilled Employee,Mid-sized City
100000639,Female,Married,34,High School,108549,Skilled Employee,Mid-sized City
100000640,Male,Single,26,Unknown,122693,Skilled Employee,Small City
100000641,Female,Married,27,High School,35832,Unemployed,Small City
100000642,Male,Single,38,High School,81870,Unemployed,Small City
100000643,Male,Single,40,High School,179790,Management,Big City
100000644,Male,Married,33,High School,107158,Skilled Employee,Mid-sized City
100000645,Male,Married,32,High School,136638,Management,Mid-sized City
100000646,Male,Single,27,Unknown,158147,Skilled Employee,Big City
100000647,Male,Married,32,High School,132587,Skilled Employee,Big City
100000648,Female,Married,26,High School,128140,Skilled Employee,Big City
100000649,Male,Single,38,High School,117405,Skilled Employee,Mid-sized City
100000650,Male,Single,40,High School,68475,Unemployed,Small City
100000651,Male,Single,50,High School,201656,Management,Big City
100000652,Male,Single,37,High School,86967,Unemployed,Small City
100000653,Male,Single,45,High School,118006,Skilled Employee,Mid-sized City
100000654,Male,Single,42,High School,223630,Management,Big City
100000655,Male,Single,35,High School,110442,Skilled Employee,Small City
100000656,Male,Single,22,Unknown,115691,Skilled Employee,Big City
100000657,Male,Single,41,High School,80232,Unemployed,Small City
100000658,Male,Single,37,High School,187647,Skilled Employee,Mid-sized City
100000659,Female,Married,28,High School,138952,Skilled Employee,Mid-sized City
100000660,Male,Single,41,High School,162772,Skilled Employee,Big City
100000661,Male,Married,23,High School,111862,Skilled Employee,Mid-sized City
100000662,Male,Married,23,High School,90051,Skilled Employee,Mid-sized City
100000663,Male,Single,50,High School,121400,Skilled Employee,Mid-sized City
100000664,Male,Single,35,High School,137000,Management,Big City
100000665,Female,Married,50,University,105031,Unemployed,Small City
100000666,Male,Single,27,Unknown,172153,Management,Big City
100000667,Male,Single,34,High School,170184,Skilled Employee,Mid-sized City
100000668,Female,Married,27,High School,123279,Skilled Employee,Mid-sized City
100000669,Male,Single,43,High School,140795,Skilled Employee,Small City
100000670,Male,Single,47,High School,144456,Skilled Employee,Small City
100000671,Male,Single,27,Unknown,104773,Unemployed,Small City
100000672,Male,Single,31,Unknown,153353,Skilled Employee,Mid-sized City
100000673,Male,Single,42,High School,223018,Management,Mid-sized City
100000674,Male,Married,24,High School,129177,Skilled Employee,Big City
100000675,Male,Single,41,High School,114475,Unemployed,Mid-sized City
100000676,Female,Married,26,High School,161323,Management,Mid-sized City
100000677,Male,Single,33,High School,135765,Skilled Employee,Big City
100000678,Male,Married,24,High School,158421,Skilled Employee,Small City
100000679,Male,Single,64,University,103941,Unemployed,Small City
100000680,Female,Married,26,High School,101783,Skilled Employee,Big City
100000681,Female,Married,56,University,126531,Skilled Employee,Mid-sized City
100000682,Male,Single,37,High School,111394,Skilled Employee,Mid-sized City
100000683,Male,Married,33,High School,103577,Skilled Employee,Big City
100000684,Male,Married,47,University,149545,Skilled Employee,Mid-sized City
100000685,Male,Single,31,Unknown,171857,Unemployed,Small City
100000686,Male,Single,34,High School,149782,Skilled Employee,Mid-sized City
100000687,Male,Single,27,Unknown,112470,Skilled Employee,Mid-sized City
100000688,Male,Single,30,Unknown,133907,Skilled Employee,Big City
100000689,Male,Single,35,High School,127849,Skilled Employee,Mid-sized City
100000690,Male,Single,31,Unknown,160279,Skilled Employee,Big City
100000691,Male,Married,25,High School,92366,Skilled Employee,Big City
100000692,Female,Married,25,High School,104794,Unemployed,Small City
100000693,Male,Single,29,Unknown,133436,Skilled Employee,Mid-sized City
100000694,Male,Single,44,High School,110374,Unemployed,Small City
100000695,Male,Single,28,Unknown,104263,Skilled Employee,Mid-sized City
100000696,Male,Single,50,High School,138752,Skilled Employee,Small City
100000697,Male,Single,29,Unknown,102723,Skilled Employee,Small City
100000698,Female,Married,38,High School,46297,Unemployed,Small City
100000699,Male,Single,24,Unknown,96425,Skilled Employee,Mid-sized City
100000700,Male,Single,40,High School,158197,Management,Mid-sized City
100000701,Female,Married,29,High School,98008,Unemployed,Small City
100000702,Male,Single,46,High School,157473,Skilled Employee,Small City
100000703,Female,Married,47,University,149306,Skilled Employee,Small City
100000704,Male,Single,41,High School,139236,Skilled Employee,Mid-sized City
100000705,Female,Married,32,High School,125890,Skilled Employee,Big City
100000706,Female,Married,35,High School,173124,Skilled Employee,Mid-sized City
100000707,Male,Single,24,Unknown,164621,Skilled Employee,Mid-sized City
100000708,Female,Married,25,High School,124539,Skilled Employee,Mid-sized City
100000709,Female,Married,25,High School,107614,Skilled Employee,Mid-sized City
100000710,Male,Single,37,High School,88849,Unemployed,Small City
100000711,Male,Single,32,Unknown,148566,Management,Big City
100000712,Female,Married,35,High School,106515,Skilled Employee,Big City
100000713,Male,Single,46,High School,150465,Management,Mid-sized City
100000714,Male,Single,25,Unknown,60868,Unemployed,Small City
100000715,Male,Single,27,Unknown,255198,Management,Big City
100000716,Male,Single,63,University,183178,Skilled Employee,Mid-sized City
100000717,Male,Single,40,High School,121448,Skilled Employee,Big City
100000718,Male,Single,32,Unknown,129975,Management,Big City
100000719,Male,Single,31,Unknown,132950,Skilled Employee,Big City
100000720,Male,Married,31,High School,169314,Skilled Employee,Mid-sized City
100000721,Male,Single,34,High School,147958,Management,Mid-sized City
100000722,Female,Married,24,High School,139896,Skilled Employee,Big City
100000723,Female,Married,24,High School,68028,Unemployed,Small City
100000724,Female,Married,66,Graduate School,133328,Unemployed,Small City
100000725,Female,Married,21,High School,108518,Skilled Employee,Big City
100000726,Female,Married,41,University,112700,Unemployed,Small City
100000727,Male,Married,47,University,110190,Unemployed,Small City
100000728,Female,Married,25,High School,105104,Skilled Employee,Mid-sized City
100000729,Female,Married,59,University,184753,Skilled Employee,Mid-sized City
100000730,Male,Married,36,High School,162521,Skilled Employee,Big City
100000731,Male,Single,33,High School,156794,Skilled Employee,Mid-sized City
100000732,Male,Single,21,Unknown,65827,Unemployed,Small City
100000733,Female,Married,44,University,88490,Unemployed,Small City
100000734,Female,Married,28,High School,154919,Skilled Employee,Big City
100000735,Female,Married,37,High School,129058,Skilled Employee,Small City
100000736,Female,Married,29,High School,77532,Unemployed,Small City
100000737,Female,Married,23,High School,235417,Management,Big City
100000738,Male,Single,35,High School,113468,Unemployed,Small City
100000739,Male,Single,45,High School,190803,Management,Big City
100000740,Female,Married,26,High School,121423,Unemployed,Small City
100000741,Male,Single,32,Unknown,121347,Skilled Employee,Mid-sized City
100000742,Male,Single,23,Unknown,67408,Unemployed,Small City
100000743,Male,Single,41,High School,123043,Skilled Employee,Mid-sized City
100000744,Male,Single,22,Unknown,128387,Skilled Employee,Big City
100000745,Male,Single,30,Unknown,250050,Management,Mid-sized City
100000746,Male,Single,28,Unknown,69588,Unemployed,Small City
100000747,Female,Married,23,High School,109547,Skilled Employee,Mid-sized City
100000748,Female,Married,37,High School,78840,Unemployed,Small City
100000749,Male,Single,26,Unknown,131122,Skilled Employee,Small City
100000750,Male,Single,33,High School,115403,Skilled Employee,Mid-sized City
100000751,Female,Married,49,University,110291,Skilled Employee,Big City
100000752,Female,Married,23,High School,64811,Unemployed,Small City
100000753,Female,Married,23,High School,86015,Unemployed,Small City
100000754,Female,Married,25,High School,142438,Skilled Employee,Big City
100000755,Male,Single,55,High School,159303,Skilled Employee,Mid-sized City
100000756,Female,Married,32,High School,104957,Skilled Employee,Mid-sized City
100000757,Male,Single,74,University,89502,Unemployed,Small City
100000758,Male,Single,39,High School,121313,Skilled Employee,Mid-sized City
100000759,Male,Single,31,Unknown,98102,Skilled Employee,Small City
100000760,Male,Single,35,High School,94554,Skilled Employee,Mid-sized City
100000761,Female,Married,59,University,162591,Skilled Employee,Mid-sized City
100000762,Female,Married,24,High School,106629,Skilled Employee,Big City
100000763,Male,Single,24,Unknown,70400,Unemployed,Small City
100000764,Male,Single,30,Unknown,235660,Management,Big City
100000765,Male,Married,27,High School,121747,Skilled Employee,Big City
100000766,Male,Married,40,High School,85060,Unemployed,Small City
100000767,Male,Married,31,High School,87630,Unemployed,Small City
100000768,Female,Married,31,High School,119673,Skilled Employee,Small City
100000769,Male,Single,28,Unknown,126060,Skilled Employee,Big City
100000770,Male,Single,63,University,96145,Unemployed,Small City
100000771,Female,Married,26,High School,114830,Skilled Employee,Small City
100000772,Female,Married,25,High School,194461,Management,Big City
100000773,Male,Single,36,High School,150158,Management,Big City
100000774,Male,Single,52,High School,136323,Skilled Employee,Big City
100000775,Male,Single,66,University,111858,Unemployed,Small City
100000776,Female,Married,25,High School,100198,Skilled Employee,Small City
100000777,Male,Single,37,High School,123452,Skilled Employee,Big City
100000778,Female,Married,25,High School,120723,Skilled Employee,Mid-sized City
100000779,Male,Single,38,High School,215639,Management,Mid-sized City
100000780,Female,Married,67,Graduate School,166712,Skilled Employee,Mid-sized City
100000781,Male,Single,25,Unknown,136300,Skilled Employee,Mid-sized City
100000782,Male,Single,60,University,166988,Skilled Employee,Big City
100000783,Male,Single,31,Unknown,77265,Unemployed,Small City
100000784,Female,Married,23,High School,85967,Unemployed,Small City
100000785,Male,Married,60,University,212020,Management,Small City
100000786,Male,Single,35,High School,126054,Unemployed,Small City
100000787,Male,Single,40,High School,144589,Skilled Employee,Small City
100000788,Male,Single,38,High School,116723,Skilled Employee,Mid-sized City
100000789,Male,Single,50,High School,168637,Skilled Employee,Mid-sized City
100000790,Male,Single,27,Unknown,139119,Skilled Employee,Mid-sized City
100000791,Female,Married,39,University,118610,Skilled Employee,Big City
100000792,Male,Single,41,High School,183312,Management,Big City
100000793,Male,Married,27,High School,96323,Skilled Employee,Small City
100000794,Male,Married,51,University,149510,Skilled Employee,Big City
100000795,Male,Single,32,Unknown,141922,Skilled Employee,Big City
100000796,Female,Married,22,High School,120233,Skilled Employee,Small City
100000797,Male,Single,51,High School,172790,Skilled Employee,Mid-sized City
100000798,Female,Married,22,High School,66720,Unemployed,Small City
100000799,Male,Married,54,University,113024,Skilled Employee,Mid-sized City
100000800,Male,Single,35,High School,51791,Unemployed,Small City
100000801,Male,Single,54,High School,118408,Skilled Employee,Big City
100000802,Female,Married,48,University,101616,Unemployed,Small City
100000803,Female,Married,24,High School,127250,Skilled Employee,Small City
100000804,Male,Single,35,High School,97290,Skilled Employee,Small City
100000805,Female,Married,24,High School,106970,Unemployed,Small City
100000806,Male,Single,24,Unknown,168147,Skilled Employee,Big City
100000807,Male,Married,26,High School,68468,Unemployed,Small City
100000808,Male,Single,65,University,120780,Skilled Employee,Big City
100000809,Male,Single,55,High School,231992,Management,Big City
100000810,Female,Married,26,High School,53903,Unemployed,Small City
100000811,Male,Married,26,High School,101511,Skilled Employee,Big City
100000812,Male,Married,28,High School,69046,Unemployed,Small City
100000813,Male,Single,24,Unknown,171584,Skilled Employee,Mid-sized City
100000814,Male,Single,54,High School,132367,Skilled Employee,Big City
100000815,Male,Single,46,High School,134433,Skilled Employee,Big City
100000816,Female,Married,54,University,190518,Skilled Employee,Small City
100000817,Male,Married,62,University,152367,Skilled Employee,Mid-sized City
100000818,Female,Married,24,High School,101157,Skilled Employee,Mid-sized City
100000819,Male,Married,43,University,279593,Management,Big City
100000820,Male,Married,26,High School,96716,Skilled Employee,Big City
100000821,Male,Married,27,High School,95171,Skilled Employee,Small City
100000822,Male,Married,24,High School,129162,Skilled Employee,Big City
100000823,Male,Single,41,High School,118742,Skilled Employee,Small City
100000824,Male,Single,47,High School,74511,Unemployed,Small City
100000825,Male,Married,35,High School,157272,Management,Mid-sized City
100000826,Male,Married,30,High School,102374,Skilled Employee,Small City
100000827,Female,Married,33,High School,131492,Skilled Employee,Small City
100000828,Male,Single,36,High School,128702,Skilled Employee,Big City
100000829,Male,Single,47,High School,177509,Skilled Employee,Big City
100000830,Male,Single,38,High School,163451,Skilled Employee,Mid-sized City
100000831,Male,Single,44,High School,144900,Skilled Employee,Mid-sized City
100000832,Female,Married,23,High School,97115,Skilled Employee,Big City
100000833,Male,Single,29,Unknown,196568,Skilled Employee,Big City
100000834,Female,Married,42,University,158405,Skilled Employee,Small City
100000835,Female,Married,25,High School,97376,Unemployed,Small City
100000836,Male,Single,48,High School,108678,Skilled Employee,Mid-sized City
100000837,Female,Married,21,High School,92351,Skilled Employee,Small City
100000838,Female,Married,23,High School,61211,Unemployed,Small City
100000839,Male,Single,63,University,138644,Skilled Employee,Small City
100000840,Male,Married,46,University,124824,Skilled Employee,Big City
100000841,Male,Single,29,Unknown,132852,Skilled Employee,Small City
100000842,Male,Single,28,Unknown,81069,Unemployed,Small City
100000843,Female,Married,23,High School,104094,Skilled Employee,Big City
100000844,Male,Single,50,High School,114853,Skilled Employee,Small City
100000845,Male,Single,47,High School,130344,Skilled Employee,Big City
100000846,Male,Single,35,High School,135090,Skilled Employee,Small City
100000847,Male,Single,68,University,179151,Skilled Employee,Big City
100000848,Male,Married,28,High School,97390,Skilled Employee,Mid-sized City
100000849,Male,Single,59,University,120160,Skilled Employee,Small City
100000850,Male,Single,57,University,82277,Unemployed,Small City
100000851,Male,Married,33,High School,110844,Skilled Employee,Big City
100000852,Male,Single,43,High School,133105,Skilled Employee,Small City
100000853,Male,Single,35,High School,102042,Skilled Employee,Small City
100000854,Male,Single,32,Unknown,69370,Unemployed,Small City
100000855,Male,Single,45,High School,200298,Skilled Employee,Mid-sized City
100000856,Male,Married,33,High School,117039,Skilled Employee,Big City
100000857,Female,Married,40,University,107585,Skilled Employee,Big City
100000858,Male,Single,28,Unknown,114429,Skilled Employee,Small City
100000859,Female,Married,29,High School,128234,Skilled Employee,Big City
100000860,Male,Single,26,Unknown,128580,Skilled Employee,Big City
100000861,Male,Single,27,Unknown,177757,Skilled Employee,Mid-sized City
100000862,Male,Married,28,High School,106222,Skilled Employee,Small City
100000863,Female,Married,35,High School,118428,Skilled Employee,Big City
100000864,Male,Single,32,Unknown,139477,Unemployed,Small City
100000865,Male,Single,25,Unknown,71159,Unemployed,Small City
100000866,Female,Married,20,High School,131370,Skilled Employee,Big City
100000867,Female,Married,27,High School,111567,Skilled Employee,Big City
100000868,Male,Single,42,High School,125482,Skilled Employee,Big City
100000869,Male,Single,37,High School,160642,Skilled Employee,Big City
100000870,Female,Married,24,High School,92498,Skilled Employee,Small City
100000871,Female,Married,40,University,199711,Skilled Employee,Big City
100000872,Male,Single,46,High School,127588,Skilled Employee,Big City
100000873,Male,Single,26,Unknown,107508,Skilled Employee,Big City
100000874,Female,Married,24,High School,94629,Skilled Employee,Big City
100000875,Male,Single,29,Unknown,87598,Unemployed,Big City
100000876,Female,Married,40,University,161194,Skilled Employee,Mid-sized City
100000877,Male,Single,36,High School,137342,Management,Big City
100000878,Male,Single,28,Unknown,116848,Skilled Employee,Mid-sized City
100000879,Male,Single,27,Unknown,125190,Management,Mid-sized City
100000880,Male,Single,36,High School,153441,Skilled Employee,Small City
100000881,Male,Single,38,High School,195328,Management,Big City
100000882,Male,Married,48,University,190413,Skilled Employee,Small City
100000883,Male,Single,36,High School,118656,Skilled Employee,Mid-sized City
100000884,Female,Married,65,Graduate School,69487,Unemployed,Small City
100000885,Male,Married,43,University,145313,Skilled Employee,Mid-sized City
100000886,Female,Married,53,University,117005,Skilled Employee,Mid-sized City
100000887,Male,Single,34,High School,123243,Skilled Employee,Mid-sized City
100000888,Male,Single,23,Unknown,237799,Skilled Employee,Mid-sized City
100000889,Male,Single,34,High School,180617,Management,Big City
100000890,Male,Single,40,High School,167019,Skilled Employee,Small City
100000891,Male,Single,43,High School,147745,Management,Big City
100000892,Male,Single,46,High School,114254,Skilled Employee,Mid-sized City
100000893,Male,Single,38,High School,81155,Unemployed,Small City
100000894,Male,Single,34,High School,151803,Skilled Employee,Big City
100000895,Male,Single,29,Unknown,94356,Skilled Employee,Big City
100000896,Male,Single,31,Unknown,200621,Management,Big City
100000897,Female,Married,28,High School,144448,Management,Mid-sized City
100000898,Female,Married,35,High School,150797,Skilled Employee,Small City
100000899,Female,Married,33,High School,84404,Unemployed,Small City
100000900,Male,Single,42,High School,133373,Skilled Employee,Big City
100000901,Male,Single,43,High School,119502,Skilled Employee,Big City
100000902,Male,Married,44,University,131619,Skilled Employee,Small City
100000903,Male,Single,42,High School,194084,Skilled Employee,Big City
100000904,Male,Married,40,High School,108278,Skilled Employee,Mid-sized City
100000905,Male,Single,36,High School,130987,Management,Mid-sized City
100000906,Male,Single,20,Unknown,116582,Management,Big City
100000907,Male,Single,24,Unknown,85270,Unemployed,Small City
100000908,Male,Married,27,High School,129227,Skilled Employee,Small City
100000909,Female,Married,46,University,108291,Unemployed,Small City
100000910,Female,Married,33,High School,103091,Unemployed,Small City
100000911,Female,Married,34,High School,136975,Skilled Employee,Mid-sized City
100000912,Female,Married,25,High School,111502,Unemployed,Small City
100000913,Female,Married,25,High School,124750,Skilled Employee,Mid-sized City
100000914,Male,Married,28,High School,146463,Skilled Employee,Big City
100000915,Male,Single,31,Unknown,115075,Skilled Employee,Small City
100000916,Female,Married,32,High School,308491,Management,Mid-sized City
100000917,Male,Single,32,Unknown,126368,Skilled Employee,Small City
100000918,Male,Single,68,University,287247,Management,Big City
